"Step","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stgm_rounds=25, stgm_learning_rate=50, stgm_momentum=0.1, stgm_step_size=10, stgm_gamma=0.7, stgm_c=0.4, stgm_meta_lr=0.5, grad_balance=True, local_epochs=3, local_learning_rate=0.05 - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stgm_rounds=25, stgm_learning_rate=50, stgm_momentum=0.1, stgm_step_size=10, stgm_gamma=0.7, stgm_c=0.4, stgm_meta_lr=0.5, grad_balance=True, local_epochs=3, local_learning_rate=0.05 - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stgm_rounds=25, stgm_learning_rate=50, stgm_momentum=0.1, stgm_step_size=10, stgm_gamma=0.7, stgm_c=0.4, stgm_meta_lr=0.5, grad_balance=True, local_epochs=3, local_learning_rate=0.05 - Global/Averaged Test Accuracy__MAX"
"2703","0.0705","0.0705","0.0705"
"2707","0.1665","0.1665","0.1665"
"2709","0.2015","0.2015","0.2015"
"2711","0.227","0.227","0.227"
"2713","0.24","0.24","0.24"
"2714","0.252","0.252","0.252"
"2721","0.295","0.295","0.295"
"2735","0.3285","0.3285","0.3285"
"2740","0.331","0.331","0.331"
"2744","0.335","0.335","0.335"
"2749","0.346","0.346","0.346"
"2751","0.341","0.341","0.341"
"2753","0.3465","0.3465","0.3465"
"2763","0.3585","0.3585","0.3585"
"2764","0.361","0.361","0.361"
"2771","0.369","0.369","0.369"
"2774","0.3665","0.3665","0.3665"
"2794","0.374","0.374","0.374"
"2800","0.0235","0.0235","0.0235"
"2801","0.032","0.032","0.032"
"2804","0.0445","0.0445","0.0445"
"2806","0.08","0.08","0.08"
"2807","0.0935","0.0935","0.0935"
"2813","0.1835","0.1835","0.1835"
"2814","0.1975","0.1975","0.1975"
"2815","0.218","0.218","0.218"
"2820","0.247","0.247","0.247"
"2827","0.267","0.267","0.267"
"2828","0.2725","0.2725","0.2725"
"2831","0.2755","0.2755","0.2755"
"2833","0.2745","0.2745","0.2745"
"2834","0.2775","0.2775","0.2775"
"2851","0.302","0.302","0.302"
"2852","0.298","0.298","0.298"
"2858","0.3095","0.3095","0.3095"
"2859","0.3055","0.3055","0.3055"
"2860","0.311","0.311","0.311"
"2863","0.307","0.307","0.307"
"2869","0.312","0.312","0.312"
"2873","0.3115","0.3115","0.3115"
"2877","0.318","0.318","0.318"
"2878","0.321","0.321","0.321"
"2880","0.323","0.323","0.323"
"2885","0.3065","0.3065","0.3065"
"2897","0.3175","0.3175","0.3175"
"2900","0.008","0.008","0.008"
"2916","0.2815","0.2815","0.2815"
"2923","0.3085","0.3085","0.3085"
"2927","0.314","0.314","0.314"
"2932","0.325","0.325","0.325"
"2935","0.324","0.324","0.324"
"2937","0.3265","0.3265","0.3265"
"2941","0.329","0.329","0.329"
"2943","0.3315","0.3315","0.3315"
"2946","0.334","0.334","0.334"
"2949","0.339","0.339","0.339"
"2952","0.3435","0.3435","0.3435"
"2953","0.346","0.346","0.346"
"2959","0.345","0.345","0.345"
"2971","0.3475","0.3475","0.3475"
"2978","0.3465","0.3465","0.3465"
"2982","0.349","0.349","0.349"
"2985","0.347","0.347","0.347"
"2988","0.3475","0.3475","0.3475"
"2989","0.349","0.349","0.349"
"2992","0.3435","0.3435","0.3435"
"3010","0.236","0.236","0.236"
"3012","0.2605","0.2605","0.2605"
"3022","0.3335","0.3335","0.3335"
"3031","0.35","0.35","0.35"
"3035","0.3625","0.3625","0.3625"
"3048","0.3825","0.3825","0.3825"
"3055","0.3845","0.3845","0.3845"
"3059","0.383","0.383","0.383"
"3061","0.3875","0.3875","0.3875"
"3062","0.3855","0.3855","0.3855"
"3064","0.393","0.393","0.393"
"3069","0.391","0.391","0.391"
"3072","0.3895","0.3895","0.3895"
"3074","0.3945","0.3945","0.3945"
"3081","0.3955","0.3955","0.3955"
"3083","0.4005","0.4005","0.4005"
"3087","0.399","0.399","0.399"
"3098","0.404","0.404","0.404"
"3102","0.045","0.045","0.045"
"3112","0.2735","0.2735","0.2735"
"3114","0.297","0.297","0.297"
"3116","0.3125","0.3125","0.3125"
"3117","0.322","0.322","0.322"
"3124","0.348","0.348","0.348"
"3127","0.3535","0.3535","0.3535"
"3130","0.3615","0.3615","0.3615"
"3131","0.357","0.357","0.357"
"3137","0.3635","0.3635","0.3635"
"3143","0.3745","0.3745","0.3745"
"3149","0.378","0.378","0.378"
"3153","0.3765","0.3765","0.3765"
"3161","0.376","0.376","0.376"
"3165","0.3775","0.3775","0.3775"
"3172","0.3775","0.3775","0.3775"
