"Step","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"652","0.0235","0.0235","0.0235"
"653","0.054","0.054","0.054"
"654","0.095","0.095","0.095"
"655","0.131","0.131","0.131"
"656","0.1565","0.1565","0.1565"
"657","0.169","0.169","0.169"
"658","0.18","0.18","0.18"
"659","0.1955","0.1955","0.1955"
"660","0.2","0.2","0.2"
"661","0.201","0.201","0.201"
"662","0.206","0.206","0.206"
"663","0.2155","0.2155","0.2155"
"664","0.218","0.218","0.218"
"665","0.2245","0.2245","0.2245"
"666","0.2255","0.2255","0.2255"
"667","0.2235","0.2235","0.2235"
"668","0.2305","0.2305","0.2305"
"669","0.2335","0.2335","0.2335"
"670","0.2375","0.2375","0.2375"
"671","0.2405","0.2405","0.2405"
"672","0.2425","0.2425","0.2425"
"673","0.2435","0.2435","0.2435"
"674","0.2445","0.2445","0.2445"
"675","0.016","0.016","0.016"
"676","0.042","0.042","0.042"
"677","0.063","0.063","0.063"
"678","0.1015","0.1015","0.1015"
"679","0.139","0.139","0.139"
"680","0.1695","0.1695","0.1695"
"681","0.1905","0.1905","0.1905"
"682","0.1975","0.1975","0.1975"
"683","0.2135","0.2135","0.2135"
"684","0.2225","0.2225","0.2225"
"685","0.2245","0.2245","0.2245"
"686","0.2345","0.2345","0.2345"
"687","0.2365","0.2365","0.2365"
"688","0.2415","0.2415","0.2415"
"689","0.2525","0.2525","0.2525"
"690","0.2455","0.2455","0.2455"
"691","0.2455","0.2455","0.2455"
"692","0.247","0.247","0.247"
"693","0.2475","0.2475","0.2475"
"694","0.254","0.254","0.254"
"695","0.259","0.259","0.259"
"696","0.257","0.257","0.257"
"697","0.2545","0.2545","0.2545"
"698","0.258","0.258","0.258"
"699","0.26","0.26","0.26"
"700","0.017","0.017","0.017"
"701","0.0285","0.0285","0.0285"
"702","0.0345","0.0345","0.0345"
"703","0.0635","0.0635","0.0635"
"704","0.083","0.083","0.083"
"705","0.128","0.128","0.128"
"706","0.159","0.159","0.159"
"707","0.1665","0.1665","0.1665"
"708","0.182","0.182","0.182"
"709","0.1905","0.1905","0.1905"
"710","0.19","0.19","0.19"
"711","0.203","0.203","0.203"
"712","0.206","0.206","0.206"
"713","0.206","0.206","0.206"
"714","0.2055","0.2055","0.2055"
"715","0.21","0.21","0.21"
"716","0.2125","0.2125","0.2125"
"717","0.2155","0.2155","0.2155"
"718","0.217","0.217","0.217"
"719","0.2185","0.2185","0.2185"
"720","0.214","0.214","0.214"
"721","0.217","0.217","0.217"
"722","0.2165","0.2165","0.2165"
"723","0.2205","0.2205","0.2205"
"724","0.2225","0.2225","0.2225"
"725","0","0","0"
"726","0.014","0.014","0.014"
