Step,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX
702,1.23E-07,1.23E-07,1.23E-07,1.23E-07,1.23E-07,1.23E-07,1.23E-07,1.23E-07,1.23E-07
703,9.77E-08,9.77E-08,9.77E-08,9.77E-08,9.77E-08,9.77E-08,9.77E-08,9.77E-08,9.77E-08
709,5.69E-08,5.69E-08,5.69E-08,5.69E-08,5.69E-08,5.69E-08,5.69E-08,5.69E-08,5.69E-08
710,5.50E-08,5.50E-08,5.50E-08,5.50E-08,5.50E-08,5.50E-08,5.50E-08,5.50E-08,5.50E-08
711,5.40E-08,5.40E-08,5.40E-08,5.40E-08,5.40E-08,5.40E-08,5.40E-08,5.40E-08,5.40E-08
712,5.22E-08,5.22E-08,5.22E-08,5.22E-08,5.22E-08,5.22E-08,5.22E-08,5.22E-08,5.22E-08
719,4.61E-08,4.61E-08,4.61E-08,4.61E-08,4.61E-08,4.61E-08,4.61E-08,4.61E-08,4.61E-08
724,4.34E-08,4.34E-08,4.34E-08,4.34E-08,4.34E-08,4.34E-08,4.34E-08,4.34E-08,4.34E-08
733,6.03E-08,6.03E-08,6.03E-08,6.03E-08,6.03E-08,6.03E-08,6.03E-08,6.03E-08,6.03E-08
742,4.74E-08,4.74E-08,4.74E-08,4.74E-08,4.74E-08,4.74E-08,4.74E-08,4.74E-08,4.74E-08
744,4.58E-08,4.58E-08,4.58E-08,4.58E-08,4.58E-08,4.58E-08,4.58E-08,4.58E-08,4.58E-08
745,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08
746,4.57E-08,4.57E-08,4.57E-08,4.57E-08,4.57E-08,4.57E-08,4.57E-08,4.57E-08,4.57E-08
751,1.55E-07,1.55E-07,1.55E-07,1.55E-07,1.55E-07,1.55E-07,1.55E-07,1.55E-07,1.55E-07
753,8.99E-08,8.99E-08,8.99E-08,8.99E-08,8.99E-08,8.99E-08,8.99E-08,8.99E-08,8.99E-08
755,6.92E-08,6.92E-08,6.92E-08,6.92E-08,6.92E-08,6.92E-08,6.92E-08,6.92E-08,6.92E-08
766,4.62E-08,4.62E-08,4.62E-08,4.62E-08,4.62E-08,4.62E-08,4.62E-08,4.62E-08,4.62E-08
777,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07
779,7.21E-08,7.21E-08,7.21E-08,7.21E-08,7.21E-08,7.21E-08,7.21E-08,7.21E-08,7.21E-08
788,4.62E-08,4.62E-08,4.62E-08,4.62E-08,4.62E-08,4.62E-08,4.62E-08,4.62E-08,4.62E-08
793,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08
796,4.15E-08,4.15E-08,4.15E-08,4.15E-08,4.15E-08,4.15E-08,4.15E-08,4.15E-08,4.15E-08
800,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08
812,4.98E-08,4.98E-08,4.98E-08,4.98E-08,4.98E-08,4.98E-08,4.98E-08,4.98E-08,4.98E-08
