"Step","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy__MAX"
"206","0.1433","0.1433","0.1433","0.354","0.354","0.354","0.1215","0.1215","0.1215"
"207","0.1491","0.1491","0.1491","0.352","0.352","0.352","0.137","0.137","0.137"
"208","0.1557","0.1557","0.1557","0.366","0.366","0.366","0.1525","0.1525","0.1525"
"209","0.1608","0.1608","0.1608","0.3665","0.3665","0.3665","0.1605","0.1605","0.1605"
"210","0.1658","0.1658","0.1658","0.3645","0.3645","0.3645","0.1595","0.1595","0.1595"
"211","0.16885","0.16885","0.16885","0.36","0.36","0.36","0.1665","0.1665","0.1665"
"212","0.17095","0.17095","0.17095","0.3595","0.3595","0.3595","0.168","0.168","0.168"
"213","0.1742","0.1742","0.1742","0.3465","0.3465","0.3465","0.176","0.176","0.176"
"214","0.1764","0.1764","0.1764","0.361","0.361","0.361","0.176","0.176","0.176"
"215","0.17895","0.17895","0.17895","0.365","0.365","0.365","0.171","0.171","0.171"
"216","0.1794","0.1794","0.1794","0.3675","0.3675","0.3675","0.182","0.182","0.182"
"217","0.1821","0.1821","0.1821","0.3795","0.3795","0.3795","0.184","0.184","0.184"
"218","0.1827","0.1827","0.1827","0.375","0.375","0.375","0.185","0.185","0.185"
"219","0.18425","0.18425","0.18425","0.3755","0.3755","0.3755","0.189","0.189","0.189"
"220","0.18405","0.18405","0.18405","0.385","0.385","0.385","0.2015","0.2015","0.2015"
"221","0.1838","0.1838","0.1838","0.373","0.373","0.373","0.2","0.2","0.2"
"222","0.1856","0.1856","0.1856","0.3855","0.3855","0.3855","0.1975","0.1975","0.1975"
"223","0.18675","0.18675","0.18675","0.371","0.371","0.371","0.203","0.203","0.203"
"224","0.1859","0.1859","0.1859","0.391","0.391","0.391","0.205","0.205","0.205"
"225","0.02755","0.02755","0.02755","0.2455","0.2455","0.2455","0","0","0"
"226","0.05885","0.05885","0.05885","0.323","0.323","0.323","0","0","0"
"227","0.07995","0.07995","0.07995","0.3505","0.3505","0.3505","0","0","0"
"228","0.10095","0.10095","0.10095","0.378","0.378","0.378","0","0","0"
"229","0.12085","0.12085","0.12085","0.3695","0.3695","0.3695","0.091","0.091","0.091"
"230","0.13395","0.13395","0.13395","0.4005","0.4005","0.4005","0.122","0.122","0.122"
"231","0.14225","0.14225","0.14225","0.39","0.39","0.39","0.146","0.146","0.146"
"232","0.1489","0.1489","0.1489","0.4105","0.4105","0.4105","0.161","0.161","0.161"
"233","0.1536","0.1536","0.1536","0.3935","0.3935","0.3935","0.1725","0.1725","0.1725"
"234","0.15845","0.15845","0.15845","0.403","0.403","0.403","0.1745","0.1745","0.1745"
"235","0.1598","0.1598","0.1598","0.4015","0.4015","0.4015","0.176","0.176","0.176"
"236","0.16235","0.16235","0.16235","0.412","0.412","0.412","0.178","0.178","0.178"
"237","0.16615","0.16615","0.16615","0.406","0.406","0.406","0.179","0.179","0.179"
"238","0.16645","0.16645","0.16645","0.416","0.416","0.416","0.1865","0.1865","0.1865"
"239","0.16795","0.16795","0.16795","0.4095","0.4095","0.4095","0.1845","0.1845","0.1845"
"240","0.1698","0.1698","0.1698","0.4165","0.4165","0.4165","0.1815","0.1815","0.1815"
"241","0.1687","0.1687","0.1687","0.409","0.409","0.409","0.1945","0.1945","0.1945"
"242","0.1704","0.1704","0.1704","0.418","0.418","0.418","0.1935","0.1935","0.1935"
"243","0.17185","0.17185","0.17185","0.4045","0.4045","0.4045","0.196","0.196","0.196"
"244","0.17405","0.17405","0.17405","0.421","0.421","0.421","0.1965","0.1965","0.1965"
"245","0.17295","0.17295","0.17295","0.41","0.41","0.41","0.2005","0.2005","0.2005"
"246","0.1736","0.1736","0.1736","0.4165","0.4165","0.4165","0.202","0.202","0.202"
