"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"707","","","","","","","","","","0.1615","0.1615","0.1615"
"710","0.2015","0.2015","0.2015","","","","0.186","0.186","0.186","","",""
"711","0.2055","0.2055","0.2055","","","","0.189","0.189","0.189","","",""
"715","0.2175","0.2175","0.2175","","","","0.2075","0.2075","0.2075","","",""
"717","0.2225","0.2225","0.2225","","","","0.211","0.211","0.211","","",""
"722","0.2305","0.2305","0.2305","","","","0.219","0.219","0.219","","",""
"724","","","","0.6825","0.6825","0.6825","","","","","",""
"725","","","","","","","","","","0.0005","0.0005","0.0005"
"727","","","","0.577","0.577","0.577","","","","","",""
"728","0.0715","0.0715","0.0715","","","","0.0765","0.0765","0.0765","","",""
"730","0.151","0.151","0.151","","","","0.1375","0.1375","0.1375","","",""
"732","0.1785","0.1785","0.1785","","","","0.1805","0.1805","0.1805","0.178","0.178","0.178"
"733","","","","","","","","","","0.1885","0.1885","0.1885"
"734","","","","0.6255","0.6255","0.6255","","","","","",""
"736","","","","","","","","","","0.207","0.207","0.207"
"741","","","","","","","","","","0.219","0.219","0.219"
"742","0.2375","0.2375","0.2375","","","","0.229","0.229","0.229","","",""
"746","","","","0.659","0.659","0.659","","","","","",""
"748","","","","0.7205","0.7205","0.7205","","","","","",""
"749","","","","","","","","","","0.2375","0.2375","0.2375"
