"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Grads Angle__MAX","CIFAR100_VitL2P_FedL2P_sgd_lr0.005 - Global/Averaged Grads Angle","CIFAR100_VitL2P_FedL2P_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","CIFAR100_VitL2P_FedL2P_sgd_lr0.005 - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Grads Angle__MAX","CIFAR100_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle","CIFAR100_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle__MAX"
"78","0.1162301627227771","0.1162301627227771","0.1162301627227771","0.07644826641771943","0.07644826641771943","0.07644826641771943","0.09627682726131752","0.09627682726131752","0.09627682726131752","0.06396653505042195","0.06396653505042195","0.06396653505042195"
"79","0.08783290239865892","0.08783290239865892","0.08783290239865892","0.06088411779492162","0.06088411779492162","0.06088411779492162","0.08860851333476603","0.08860851333476603","0.08860851333476603","0.04872682837070897","0.04872682837070897","0.04872682837070897"
"80","0.0627335746679455","0.0627335746679455","0.0627335746679455","0.05004373424686492","0.05004373424686492","0.05004373424686492","0.08312061736010946","0.08312061736010946","0.08312061736010946","0.03893894715234637","0.03893894715234637","0.03893894715234637"
"81","0.046220524981617925","0.046220524981617925","0.046220524981617925","0.04185556526295841","0.04185556526295841","0.04185556526295841","0.07912767375120894","0.07912767375120894","0.07912767375120894","0.032217048099264504","0.032217048099264504","0.032217048099264504"
"82","0.03557353176176548","0.03557353176176548","0.03557353176176548","0.03595629526302219","0.03595629526302219","0.03595629526302219","0.07647512577474118","0.07647512577474118","0.07647512577474118","0.027693334296345712","0.027693334296345712","0.027693334296345712"
"83","0.028454344421625137","0.028454344421625137","0.028454344421625137","0.03326927634887397","0.03326927634887397","0.03326927634887397","0.074118852741085","0.074118852741085","0.074118852741085","0.023977744579315185","0.023977744579315185","0.023977744579315185"
"84","0.023748499900102617","0.023748499900102617","0.023748499900102617","0.02838463212363422","0.02838463212363422","0.02838463212363422","0.07230905195698142","0.07230905195698142","0.07230905195698142","0.020985816475003957","0.020985816475003957","0.020985816475003957"
"85","0.020518728867173194","0.020518728867173194","0.020518728867173194","0.02720924774184823","0.02720924774184823","0.02720924774184823","0.07071843123063445","0.07071843123063445","0.07071843123063445","0.0197476670704782","0.0197476670704782","0.0197476670704782"
"86","0.01832203932106495","0.01832203932106495","0.01832203932106495","0.025566534250974656","0.025566534250974656","0.025566534250974656","0.06950411627069115","0.06950411627069115","0.06950411627069115","0.01781361533328891","0.01781361533328891","0.01781361533328891"
"87","0.0162458872795105","0.0162458872795105","0.0162458872795105","0.023447451516985893","0.023447451516985893","0.023447451516985893","0.06844948349520565","0.06844948349520565","0.06844948349520565","0.016661183284595607","0.016661183284595607","0.016661183284595607"
